jfreechart-ts-statement-orig-order-results.txt
Number of Inconsistent Tests Found: 0
Number of additional tests: 0
Number of Tests Missing: 1946
                                                                                                                  Original order result:        Test order result:
org.jfree.chart.renderer.junit.AbstractRendererTests.testPaintLookup:                                             PASS
org.jfree.data.gantt.junit.TaskSeriesCollectionTests.testGetSeriesCount:                                          PASS
org.jfree.data.xy.junit.MatrixSeriesTests.testSerialization:                                                      PASS
org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests.testPublicCloneable:                       PASS
org.jfree.chart.axis.junit.PeriodAxisLabelInfoTests.testSerialization:                                            PASS
org.jfree.data.statistics.junit.SimpleHistogramDatasetTests.testClearObservations:                                PASS
org.jfree.data.statistics.junit.RegressionTests.testOLSRegression2a:                                              PASS
org.jfree.data.statistics.junit.RegressionTests.testOLSRegression2b:                                              PASS
org.jfree.chart.renderer.xy.junit.XYBlockRendererTests.testEquals:                                                PASS
org.jfree.data.time.ohlc.junit.OHLCItemTests.testSerialization:                                                   PASS
org.jfree.data.time.junit.TimeSeriesTests.testGetDataItem1:                                                       PASS
org.jfree.data.xy.junit.CategoryTableXYDatasetTests.testEquals:                                                   PASS
org.jfree.chart.plot.dial.junit.DialPointerTests.testSerialization:                                               PASS
org.jfree.chart.plot.dial.junit.DialPlotTests.testCapListener:                                                    PASS
org.jfree.data.xy.junit.XYCoordinateTests.testSerialization:                                                      PASS
org.jfree.data.time.junit.SecondTests.testHashcode:                                                               PASS
org.jfree.data.time.junit.TimeSeriesCollectionTests.testBug3445507:                                               PASS
org.jfree.chart.urls.junit.StandardPieURLGeneratorTests.testSerialization:                                        PASS
org.jfree.data.time.junit.TimeSeriesTests.testClone2:                                                             PASS
org.jfree.chart.renderer.category.junit.BarRenderer3DTests.testCloning:                                           PASS
org.jfree.data.time.ohlc.junit.OHLCTests.testHashcode:                                                            PASS
org.jfree.data.xy.junit.XIntervalSeriesTests.testClear:                                                           PASS
org.jfree.data.junit.DomainOrderTests.testEquals:                                                                 PASS
org.jfree.chart.plot.junit.PlotOrientationTests.testSerialization:                                                PASS
org.jfree.data.statistics.junit.DefaultBoxAndWhiskerXYDatasetTests.testSerialization:                             PASS
org.jfree.chart.labels.junit.MultipleXYSeriesLabelGeneratorTests.testHashCode:                                    PASS
org.jfree.chart.axis.junit.DateTickTests.testCloning:                                                             PASS
org.jfree.data.statistics.junit.RegressionTests.testOLSRegression1b:                                              PASS
org.jfree.data.statistics.junit.RegressionTests.testOLSRegression1a:                                              PASS
org.jfree.data.gantt.junit.TaskSeriesCollectionTests.testEquals:                                                  PASS
org.jfree.data.xy.junit.YIntervalSeriesTests.testIndexOf:                                                         PASS
org.jfree.data.general.junit.DefaultPieDatasetTests.testGetKey:                                                   PASS
org.jfree.data.xy.junit.DefaultXYZDatasetTests.testEquals:                                                        PASS
org.jfree.data.xy.junit.YIntervalSeriesTests.testRemove:                                                          PASS
org.jfree.data.time.junit.YearTests.testGetEnd:                                                                   PASS
org.jfree.data.xy.junit.DefaultXYDatasetTests.testSerialization:                                                  PASS
org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests.testCloning:                                  PASS
org.jfree.data.statistics.junit.RegressionTests.testPowerRegression1a:                                            PASS
org.jfree.data.statistics.junit.RegressionTests.testPowerRegression1b:                                            PASS
org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests.testSerialization:                              PASS
org.jfree.data.statistics.junit.HistogramDatasetTests.testCloning:                                                PASS
org.jfree.data.time.junit.YearTests.testGetStart:                                                                 PASS
org.jfree.data.xy.junit.XIntervalSeriesTests.testCloning:                                                         PASS
org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests.testSerialization:                              PASS
org.jfree.chart.renderer.category.junit.LevelRendererTests.testGetLegendItemSeriesIndex:                          PASS
org.jfree.data.time.junit.MonthTests.testNext:                                                                    PASS
org.jfree.chart.util.junit.RelativeDateFormatTests.testCloning:                                                   PASS
org.jfree.chart.junit.StackedBarChart3DTests.testReplaceDataset:                                                  PASS
org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests.testEquals:                                     PASS
org.jfree.chart.imagemap.junit.ImageMapUtilitiesTests.testHTMLEscape:                                             PASS
org.jfree.chart.annotations.junit.XYShapeAnnotationTests.testSerialization:                                       PASS
org.jfree.chart.urls.junit.StandardCategoryURLGeneratorTests.testPublicCloneable:                                 PASS
org.jfree.chart.plot.junit.PiePlot3DTests.testDrawWithNullDataset:                                                PASS
org.jfree.chart.needle.junit.PinNeedleTests.testCloning:                                                          PASS
org.jfree.data.xy.junit.XYSeriesTests.testIndexOf2:                                                               PASS
org.jfree.chart.renderer.xy.junit.StandardXYBarPainterTests.testSerialization:                                    PASS
org.jfree.data.xy.junit.XYSeriesTests.testIndexOf3:                                                               PASS
org.jfree.chart.renderer.xy.junit.HighLowRendererTests.testEquals:                                                PASS
org.jfree.data.time.ohlc.junit.OHLCSeriesCollectionTests.testEquals:                                              PASS
org.jfree.chart.plot.junit.XYPlotTests.testSetNullRenderer:                                                       PASS
org.jfree.data.time.junit.MinuteTests.testGetStart:                                                               PASS
org.jfree.chart.renderer.xy.junit.XYErrorRendererTests.testHashcode:                                              PASS
org.jfree.data.statistics.junit.DefaultStatisticalCategoryDatasetTests.testAdd:                                   PASS
org.jfree.chart.renderer.xy.junit.WindItemRendererTests.testHashcode:                                             PASS
org.jfree.chart.annotations.junit.XYDrawableAnnotationTests.testCloning:                                          PASS
org.jfree.chart.plot.junit.MarkerTests.testGetSetOutlinePaint:                                                    PASS
org.jfree.chart.labels.junit.StandardXYZToolTipGeneratorTests.testHashCode:                                       PASS
org.jfree.data.xy.junit.VectorDataItemTests.testEquals:                                                           PASS
org.jfree.chart.labels.junit.SymbolicXYItemLabelGeneratorTests.testPublicCloneable:                               PASS
org.jfree.chart.annotations.junit.XYImageAnnotationTests.testPublicCloneable:                                     PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindMaximumStackedRangeValue2:                             PASS
org.jfree.chart.renderer.junit.AbstractRendererTests.testSetOutlinePaint:                                         PASS
org.jfree.chart.renderer.category.junit.BarRenderer3DTests.testPublicCloneable:                                   PASS
org.jfree.data.gantt.junit.TaskSeriesCollectionTests.testRemove:                                                  PASS
org.jfree.chart.block.junit.ColorBlockTests.testSerialization:                                                    PASS
org.jfree.data.time.junit.TimeSeriesTests.testClone:                                                              PASS
org.jfree.data.gantt.junit.TaskSeriesCollectionTests.testGetColumnCount:                                          PASS
org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetSeriesIndex:                             PASS
org.jfree.data.xy.junit.XYIntervalSeriesCollectionTests.testEquals:                                               PASS
org.jfree.data.xy.junit.XYSeriesCollectionTests.test1170825:                                                      PASS
org.jfree.data.junit.DefaultKeyedValues2DTests.testGetValue:                                                      PASS
org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests.testCloning:                             PASS
org.jfree.chart.renderer.xy.junit.XYBlockRendererTests.testBug1766646A:                                           PASS
org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests.testSerialization:                                      PASS
org.jfree.data.time.junit.MonthTests.testDateConstructor1:                                                        PASS
org.jfree.chart.renderer.junit.LookupPaintScaleTests.testConstructor2:                                            PASS
org.jfree.chart.renderer.junit.LookupPaintScaleTests.testConstructor1:                                            PASS
org.jfree.chart.renderer.xy.junit.XYBlockRendererTests.testBug1766646B:                                           PASS
org.jfree.chart.block.junit.LabelBlockTests.testCloning:                                                          PASS
org.jfree.chart.junit.LineChart3DTests.testSetSeriesToolTipGenerator:                                             PASS
org.jfree.data.time.junit.MonthTests.testDateConstructor2:                                                        PASS
org.jfree.data.xy.junit.XYSeriesCollectionTests.testGetRangeBounds:                                               PASS
org.jfree.chart.renderer.xy.junit.XYErrorRendererTests.testEquals:                                                PASS
org.jfree.chart.renderer.category.junit.AreaRendererTests.testPublicCloneable:                                    PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testIterateToFindRangeBounds_StatisticalCategoryDataset:       PASS
org.jfree.chart.annotations.junit.XYLineAnnotationTests.testEquals:                                               PASS
org.jfree.data.time.junit.SimpleTimePeriodTests.testCompareTo:                                                    PASS
org.jfree.chart.renderer.category.junit.StackedAreaRendererTests.testPublicCloneable:                             PASS
org.jfree.chart.renderer.xy.junit.CandlestickRendererTests.testHashcode:                                          PASS
org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests.testPublicCloneable:                                PASS
org.jfree.data.time.junit.TimeSeriesTests.testAdd:                                                                PASS
org.jfree.data.xy.junit.VectorSeriesCollectionTests.testSerialization:                                            PASS
org.jfree.data.junit.RangeTests.testHashCode:                                                                     PASS
org.jfree.chart.annotations.junit.XYPolygonAnnotationTests.testPublicCloneable:                                   PASS
org.jfree.data.time.junit.SecondTests.testGetSerialIndex:                                                         PASS
org.jfree.chart.axis.junit.SegmentedTimelineTests.testMs2SegmentedTimeline:                                       PASS
org.jfree.chart.renderer.category.junit.LayeredBarRendererTests.testEquals:                                       PASS
org.jfree.data.time.junit.TimeSeriesTests.testRemoveAgedItems:                                                    PASS
org.jfree.chart.renderer.category.junit.LevelRendererTests.testPublicCloneable:                                   PASS
org.jfree.chart.renderer.junit.AbstractRendererTests.testCloning2:                                                PASS
org.jfree.chart.plot.junit.DefaultDrawingSupplierTests.testCloning:                                               PASS
org.jfree.chart.labels.junit.StandardCategoryToolTipGeneratorTests.testEquals:                                    PASS
